,username,date_t,text_t,favorites,hashtags,retweets,replies,author_id
378,ryeojinivotes,2019-04-21 23:22:21+00:00,1년 안에 세번째 빌보드200 넘버원 너무너무 축하해 우리 방탄 당연하지 않음을 알고 있지만 한편으론 너희라서 가능하다고 생각해 오늘도 덕분에 감사하고 행복해 #PersonaBillboardNo1 #BTS #방탄소년단 @BTS_twt,29,#PersonaBillboardNo1 #BTS #BTS,41,1,1114422936297807873
379,jimin_ehh,2019-04-21 23:22:07+00:00,이번생에 갈 수 있을까 팬싸. 엉엉... ㅇㄹ ㅎ러얗아자쟐 ㅡㅇ엉ㅇ엉엉ㅇ엉ㅇㅇ ㅠㅠㅠ #지민 #JIMIN #BTS #방탄소년단 #알라딘,7,#JIMIN #BTS #BTS,1,0,1013748562193104896
380,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
381,Skiri_,2019-04-21 23:22:05+00:00,Thank you ARMY for help me reach 100 followers #ArmyfollowArmy #방탄소년단 #BTS_twt #BTS #ARMY #PersonaBillboardNo1,3,#ArmyfollowArmy #BTS_twt #BTS #BTS #ARMY #PersonaBillboardNo1,1,2,1104217693983510529
382,mulan8pe,2019-04-21 23:21:58+00:00,#PersonaBillboardNo1 #BTS #방탄소년단 (@BTS_twt) THEY GOT IT!! I'm proud of them ,0,#PersonaBillboardNo1 #BTS #BTS,0,0,1100737586652434432
383,GPT_5813,2019-04-21 23:21:56+00:00,빅히트 진짜 ㅠㅠ,1,,0,1,972102802603298816
384,moonmoringstar,2019-04-21 23:21:55+00:00,옹헤야~ 어절씨구 옹헤야~ 방탄소년단 축하해요 #PersonaBillboardNo1 @BTS_twt,10,#PersonaBillboardNo1,12,0,970841354975809536
385,becuzthatcookie,2019-04-21 23:21:54+00:00,BTS 'LOVE YOURSELF: SPEAK YOURSELF' 방탄소년단 시카고 콘서트 양도 합니다. Soldier Field 5.12 May 12 Section 142 Row 4 DM plz TM Transfer PayPal #BTS #Chicago #SoldierField #솔져필드 #시카고 #방탄소년단 #원가양도,0,#BTS #BTS #Chicago #SoldierField,1,0,760321732049711105
386,heyme_27,2019-04-21 23:21:53+00:00,[멜론 아지톡] Make It Right 감상 인증했어요! #스밍인증 #방탄소년단 #아지톡 https://melon.do/SX9xH6VNF,0,,0,0,1082983210328350721
387,girlinluv_army,2019-04-21 23:21:51+00:00, Aladin Fansign 알라딘 #BTS #방탄소년단 @BTS_twt,2,#BTS #BTS,0,0,813928746952589312
