,username,date_t,text_t,favorites,hashtags,retweets,replies,author_id
451,yoonal_,2019-04-21 23:14:58+00:00,my kings #BTS #방탄소년단 #MAP_OF_THE_SOUL_PERSONA #BoyWithLuv #BoyWithLuvto200M @BTS_twt,1,#BTS #BTS #MAP_OF_THE_SOUL_PERSONA #BoyWithLuv #BoyWithLuvto200M,0,0,1018655136292528129
452,AyaLima3,2019-04-21 23:14:54+00:00,OMG @BTS_twt I.... #PersonaBillboardNo1 #BTS #방탄소년단 ,0,#PersonaBillboardNo1 #BTS #BTS,0,0,1184377531
453,ChinChi85232890,2019-04-21 23:14:53+00:00, #방탄소년단 #진 #석진 #김석진 #방탄진 #방탄소년단진 #BTS #JIN #SEOKJIN #防弾少年団 #金碩珍 #ソクジン #ジンニム #WorldwideHandsome @BTS_twt,1,#BTS #BTS #JIN #SEOKJIN #WorldwideHandsome,0,0,1106091402620866561
454,NAbigail9,2019-04-21 23:14:53+00:00, -#BTS obtiene el tercer álbum n°1 en la lista Billboard 200 con 'Map of the Soul: Persona' Vamos #방탄소년단 #PersonaBillboardNo1 #BTSxHalsey #BoyWithLuv #BTSARMY @BTS_twt,2,#BTS #BTS #PersonaBillboardNo1 #BTSxHalsey #BoyWithLuv #BTSARMY #BTSARMY,0,1,1103813527901483010
455,ParkJimin_Lady,2019-04-21 23:14:52+00:00," @BTS_twt estoy tan orgullosa de ustedes. Tienen el record de tres albums #1 en BB 200. Están haciendo historia, y sí #BTSPavedTheWay #PersonaBillboardNo1 #BTS #방탄소년단 ",13,#BTSPavedTheWay #PersonaBillboardNo1 #BTS #BTS,14,0,839593575620935681
456,HOPE_0802,2019-04-21 23:14:45+00:00,빅히트 개새끼야,2,,0,0,1100377545348771840
457,iamtrang27,2019-04-21 23:14:31+00:00,#PersonaBillboardNo1 #BTS #방탄소년단 @BTS_twt @bts_bighit,2,#PersonaBillboardNo1 #BTS #BTS,0,0,1036229072857128962
458,brinzaARMY,2019-04-21 23:14:22+00:00,Yo estoy tan feliz y orgullosa!! Esta es una demostración de amor de #BTS a army y de #ARMY a bts #PersonaBillboardNo1 #MAP_OF_THE_SOUL_PERSONA #방탄소년단 @BTS_twt,0,#BTS #BTS #ARMY #PersonaBillboardNo1 #MAP_OF_THE_SOUL_PERSONA,0,0,1062760968634200064
459,MiMi_M02_,2019-04-21 23:14:17+00:00,#PersonaBillboardNo1 #BTS #방탄소년단 @BTS_twt #ARMY again and again Who can do this other than you? BTS is the best don't speak with me now i am so proud of you BTS i am so proud because i am Armyyyyyyyyyyyyyyyy congratulations my king's ,0,#PersonaBillboardNo1 #BTS #BTS #ARMY,0,0,1107082744482484227
460,tAmi44656060,2019-04-21 23:14:10+00:00,#PersonaBillboardNo1 #방탄소년단 @BTS_twt,1,#PersonaBillboardNo1,0,0,1026331768977219584
461,BTS_Tokky,2019-04-21 23:14:10+00:00,#방탄팬싸 대리응모 방탄소년단 페르소나 뮤직코리아 사운드웨이브 마지막 팬싸 대리응모 합니당 원하시는 매장에 원하시는 요일 응모해드리고 수량은 1장부터 무한대 가능해요 지민 태형 윤기 남준 석진 호석 정국 자세한 문의는 디엠주세요 ,0,,0,1,976222475930370048
462,bangticket13,2019-04-21 23:14:10+00:00,190421 방탄소년단 알라딘 팬싸인회 데이터 판매 #지민 #정국 #호석 #남준 #태형 #윤기 #석진 오픈톡으로 문의주세요 https://open.kakao.com/o/sJJPK5lb,1,,0,0,2385282900
463,ChinChi85232890,2019-04-21 23:14:10+00:00, #방탄소년단 #진 #석진 #김석진 #방탄진 #방탄소년단진 #BTS #JIN #SEOKJIN #防弾少年団 #金碩珍 #ソクジン #ジンニム #WorldwideHandsome @BTS_twt,0,#BTS #BTS #JIN #SEOKJIN #WorldwideHandsome,0,0,1106091402620866561
464,jsubject,2019-04-21 23:14:03+00:00,Congratulations to @BTS_twt for earning THREE number 1 albums in ONE YEAR on the Billboard 200 chart!! They are the first to achieve this feat since The Beatles. And their songs are in Korean. #BTS #방탄소년단 #PersonaBillboardNo1,91,#BTS #BTS #PersonaBillboardNo1,45,1,102123471
465,ChinChi85232890,2019-04-21 23:13:52+00:00, #방탄소년단 #진 #석진 #김석진 #방탄진 #방탄소년단진 #BTS #JIN #SEOKJIN #防弾少年団 #金碩珍 #ソクジン #ジンニム #WorldwideHandsome @BTS_twt,0,#BTS #BTS #JIN #SEOKJIN #WorldwideHandsome,0,0,1106091402620866561
466,KIMfanfan_,2019-04-21 23:13:47+00:00,Baby #GoodmorningTaehyung #V #BTS #BTSV #Taehyung #KimTaehyung #뷔 #방탄소년단 #방탄소년단뷔 #태형 #김태형 #보라해 #ブイ #防弾少年団 #金泰亨 #テテ #テヒョン #Singularity #싱귤래리티 #CG뷔 @BTS_twt,3,#GoodmorningTaehyung #V #BTS #BTS #BTSV #Taehyung #KimTaehyung #Singularity #CG,0,0,969929086117163008
467,Salsal06355493,2019-04-21 23:13:38+00:00,Be healthy #GoodMorningTaehyung #방탄소년단 @BTS_twt,2,#GoodMorningTaehyung,0,0,1073608277764857856
468,AyaLima3,2019-04-21 23:13:31+00:00,I need to print this and frame it!!! Congrats @BTS_twt &amp; ARMY for this achievement. WE DID IT!!!! #BTS #PersonaBillboardNo1 #방탄소년단 ,0,#BTS #BTS #PersonaBillboardNo1,0,0,1184377531
469,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
470,bangbushim7,2019-04-21 23:13:15+00:00,I know my body is stiff and not flexible but I can't believe even my fingers cant do that lol how? @BTS_twt #BTS #방탄소년단 ,1,#BTS #BTS,0,0,132769138
471,Lehhhang,2019-04-21 23:13:13+00:00,"On the stage, you are the best #GoodmorningTaehyung #방탄소년단 #뷔 #방탄소년단뷔 #BTS #V #BTSV #김태형 #보라해",0,#GoodmorningTaehyung #BTS #BTS #V #BTSV,0,0,1028674001587957763
472,jimin1013miki,2019-04-21 23:13:11+00:00,おはようございます ジミン ちゃんカッコいい 今日も１日頑張ります #BTS #방탄소년단 @BTS_twt,21,#BTS #BTS,0,2,1009425988134973440
473,Rosie__hyo,2019-04-21 23:12:57+00:00,작은 것들을 위한 시 (Boy With Luv) feat. Halsey - 방탄소년단 - 들어보세요. https://melon.do/aRg3gY8OV #Melon,0,#Melon,0,0,2455132712
474,AgustDxParkDJM,2019-04-21 23:12:57+00:00,"El Taekook tan bello como el YoonMin, NamJin y Vhope #BTS @BTS_twt #방탄소년단 #Vkook #V #JUNGKOOK",99,#BTS #BTS #Vkook #V #JUNGKOOK,23,1,717819625321267200
475,BTSTXTfor1,2019-04-21 23:12:35+00:00,No matter world changes No matter the weather being gloomy No matter people say about you Please just be own yourself Please be the outstanding one Please just being Park Jimin who i known from the start i know you Saranghae #JIMIN #지민 #방탄소년단 ,0,#JIMIN,0,0,258248000
476,Chim_GBin,2019-04-21 23:12:31+00:00,21세기 첫 '1년안에 빌보드200 1위 3번한 그룹'이라니. 96년 비틀즈 이후 처음이라고. 대단히 대단하고 무한히 기쁘다 정말. 방탄소년단 빌보드200 1위 축하해 #PersonaBillboardNo1 @BTS_twt,17,#PersonaBillboardNo1,13,0,957262569055514624
477,MinakoPham,2019-04-21 23:12:28+00:00,#방탄소년단 #PersonaBillboardNo1 @BTS_twt Yeah yeah ,0,#PersonaBillboardNo1,0,0,1055380080073953281
478,Tae_mexico,2019-04-21 23:12:15+00:00,"[ ] #BTS #방탄소년단 #V #TAEHYUNG #김태형 #Vante @BTS_twt No importa el día, la hora o el mes...... Siempre va a hacer tiempo perfecto para admirar a este chico ||©en fotos || Tae México || #IngridG ||",43,#BTS #BTS #V #TAEHYUNG #Vante #IngridG,7,1,1093381297383374848
479,Yaya56526069,2019-04-21 23:12:01+00:00,armys i need more followers to hit 100 follow and i'll follow you back lets help each other to win the BBMA please Rt and com #ArmyfolllowArmy #방탄소년단 #ArmyHelpArmy #armyfollowarmy #ArmyfolllowArmy #armyfollorarmy @BTS_twt,11,#ArmyfolllowArmy #ArmyHelpArmy #armyfollowarmy #ArmyfolllowArmy #armyfollorarmy,11,9,1077194273353842688
480,bts2013k,2019-04-21 23:11:55+00:00,#방탄소년단 @BTS_twt 음악과 영상에 숨은 '클래식·인문학 코드' (출처 : SBS뉴스 | 네이버TV),0,,0,0,920973925252710400
481,pink_jm_13,2019-04-21 23:11:41+00:00,#PersonaBillboardNo1 #방탄소년단 너무 보라하구 축하해요~ 그대들을 알게 되어서 너무 감사하구 감사해요~ @BTS_twt #BTS,2,#PersonaBillboardNo1 #BTS #BTS,4,1,1108182163260755968
482,btsjtae,2019-04-21 23:11:34+00:00,#BTS #방탄소년단 #Easter #PersonaBillboardNo1,0,#BTS #BTS #Easter #PersonaBillboardNo1,0,0,736812557390872576
483,musingsofacat,2019-04-21 23:11:26+00:00, #PersonaBillboardNo1 @BTS_twt #방탄소년단 https://spoti.fi/2XbPXtM,0,#PersonaBillboardNo1,0,0,40580871
484,axlauj,2019-04-21 23:11:26+00:00,[CHOREOGRAPHY] BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv)' Dance Practice https://youtu.be/CzvfbRbEjww via @YouTube @BTS_twt,0,,0,0,539561391
485,iam_bleue,2019-04-21 23:11:26+00:00,We all want to wake up this babie with kiths and hugs and ILYs.. #GoodMorningTaehyung #V #BTSV #CGV #KimTaehyung @BTS_twt #방탄소년단 #뷔 #김태형,11,#GoodMorningTaehyung #V #BTSV #CGV #KimTaehyung,9,0,919678367976194048
486,parkcalicooo,2019-04-21 23:11:21+00:00,190421 알라딘팬사인회 방탄소년단 지민 직캠/BTS JIMIN FOCUS https://youtu.be/D741ZuuH9sA via @YouTube,0,,0,0,888984697937768448
487,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
488,kyeonwoo_,2019-04-21 23:11:21+00:00,#PersonaBillboardNo1 축하햎우리 사랑하는 방탄소년단 @BTS_twt,0,#PersonaBillboardNo1,0,0,2936578471
489,Pond_Of_Manggae,2019-04-21 23:11:15+00:00,빅히트 일 똑바로 안하지 진짜,0,,0,0,2721276097
490,StillWithYouOT7,2019-04-21 23:11:14+00:00,Hello @BTS_twt @bts_bighit this is a very good Monday Morning for us! Good news to start the week.. Congratulations!! Another record set! #PersonaBillboardNo1 #curiousaboutARMY #BTS #MAP_OF_THE_SOUL_PERSONA #방탄소년단 #JUNGKOOK #JIN #Taehyung #RM #SUGA #JHOPE #JIMIN,0,#PersonaBillboardNo1 #curiousaboutARMY #BTS #BTS #MAP_OF_THE_SOUL_PERSONA #JUNGKOOK #JIN #Taehyung #RM #SUGA #JHOPE #JIMIN,0,0,50201213
491,minstradamous,2019-04-21 23:11:07+00:00, #PersonaBillboardNo1 @BTS_twt #BTS #방탄소년단 ,0,#PersonaBillboardNo1 #BTS #BTS,0,0,908219785242066944
492,jeokimztth,2019-04-21 23:11:07+00:00,OUR KINGS!! #PersonaBillboardNo1 #방탄소년단 #BTS @BTS_twt @bts_bighit @BigHitEnt ,0,#PersonaBillboardNo1 #BTS #BTS,0,0,774038599604002820
493,seleneoflife,2019-04-21 23:11:04+00:00,#PersonaBillboardNo1 bts demostrando que para la musica no existen barreras @BTS_twt #BTS #방탄소년단 ,0,#PersonaBillboardNo1 #BTS #BTS,0,0,732286207
494,Vbotae,2019-04-21 23:11:00+00:00,오늘도 신나는 노동요 Dionysus - 방탄소년단 - 들어보세요. https://melon.do/QuPUZXAPV #Melon,4,#Melon,0,0,787294330515886080
495,BTSARMYs613,2019-04-21 23:11:00+00:00,พี่แทบอกว่าจะจัดexhibitionภาพถ่ายอีก20ปีข้างหน้าหรอ ตอนนั้นเราจะอายุเท่าไหร่แล้วน้า(เกาหู) 23+20ก็43แล้วสิ (แค่คิดเลขในใจ ไม่ได้นึกถึงภาพตอนเรา2คนมาจัดนิทรรศการVante GCFหรอกนะคับ อย่าคิดมาก) #kookv #JUNGKOOK #taehyung #vkook #Taekook #BTS #방탄소년단 #Fansign #BoyWithLuv,38,#kookv #JUNGKOOK #taehyung #vkook #Taekook #BTS #BTS #Fansign #BoyWithLuv,15,0,852224306293723136
496,Kiha38472932,2019-04-21 23:10:57+00:00,Ngày mới vui vẻ anh nhé Nhớ giữ gìn sức khỏe nha! I purple you!!! ARMY purple you #방탄소년단 #GoodMorningTaeHyung #GoodMorningTaehyung,32,#GoodMorningTaeHyung #GoodMorningTaehyung,22,1,1105452112547180546
497,FilleBizarreexe,2019-04-21 23:10:56+00:00,"I need more active mutuals to vote for #BBMAs If I don't follow you back instant, I'll follow you back when I'll wake up, I promise you Let's make BTS proud of ARMY I purple you #ARMYfollowARMY #ArmyfolllowArmy #BillboardMusicAwards #방탄소년단 #ArmyHelpArmy",4,#BBMAs #BBMAs #ARMYfollowARMY #ArmyfolllowArmy #BillboardMusicAwards #BillboardMusicAwards #ArmyHelpArmy,4,0,1962704166
498,iipurpleu_tae,2019-04-21 23:10:56+00:00, 태형이 Good morning!Do you sleep well today?Hope u have a good rest today and don’t get hurt anymore. Please stay health. May your day shine bright 보라해 I purple U #GoodmorningTaehyung #V #BTSV #뷔 #방탄소년단뷔 #Taehyung #김태형 #태형 #テテ #방탄소년단 #BTS @BTS_twt,26,#GoodmorningTaehyung #V #BTSV #Taehyung #BTS #BTS,21,0,970289698621894656
499,_Purple_bam,2019-04-21 23:10:54+00:00,아 말도 안돼 키티갱..아 진짜 빅히트 뚜쉬하고 싶다 아 키티갱이 아 아 아,0,,0,0,950167151180001281
500,awsedr1q,2019-04-21 23:10:50+00:00,이 세기에 비틀즈 이후로 미국에서 1년 내에 차트 1위 앨범을 3개 보유하고 있는 아티스트 @BTS_twt #BTS #방탄소년단 #PersonaBillboardNo1 #MAP_OF_THE_SOUL_PERSONA #BoyWithLuv #,0,#BTS #BTS #PersonaBillboardNo1 #MAP_OF_THE_SOUL_PERSONA #BoyWithLuv,0,0,1102202392865435649
501,ARodLoveMusic,2019-04-21 23:10:49+00:00,The love between BTS and Army is powerful! Look at this! 3rd #1 album in less than a year! Love did that #PersonaBillboardNo1 #Map_Of_The_Soul_Persona #BTS #방탄소년단 @BTS_twt,0,#PersonaBillboardNo1 #Map_Of_The_Soul_Persona #BTS #BTS,0,0,1071100072308416513
502,ceciescobar04,2019-04-21 23:10:40+00:00,"¿En serio soy yo la única que cree que el rey de la visualidad del nuevo álbum es Seokjin?... Amigo, mira lo que es lpm... Llego a romper ortos con éste álbum. ¡¡Me haces dudar de Nam bro, paraaa!! Jsjfjsjcujwydbfic6wf @BTS_twt #방탄소년단 #BTS #KimSeokjin #SEOKJIN",3,#BTS #BTS #KimSeokjin #SEOKJIN,1,0,1051523010228867078
503,sukisski,2019-04-21 23:10:40+00:00,190421 방탄소년단 지민 (BTS JIMIN) - 알라딘 팬사인회 (JIMIN FOCUS 4K fancam) https://youtu.be/7be_yolLEOs @YouTubeより 最高でございました ,1,,0,0,142927614
504,officialbts_bd,2019-04-21 23:10:37+00:00,MAP OF THE SOUL ‘Persona’ have ranked #1 on Billboard 200 in the United States!! Many many congratulations @BTS_twt WE R SO SO PROUD T T #PersonaBillboardNo1 #BTS #bangtan #방탄소년단@BTS_twt #BoyWithLuv,34,#PersonaBillboardNo1 #BTS #BTS #bangtan #BoyWithLuv,6,1,730968149441556480
505,elsiiss,2019-04-21 23:10:35+00:00, #PersonaBillboardNo1 #방탄소년단 #BTS @BTS_twt,1,#PersonaBillboardNo1 #BTS #BTS,0,0,1038492594530074624
506,trgiang74v_,2019-04-21 23:10:30+00:00,"A sweet day . Good morning Taehyung, BangTan @BTS_twt #BTS #방탄소년단 #BBMAs #BTSV #BoyWithLuv #GoodMorningTaehyung",2,#BTS #BTS #BBMAs #BBMAs #BTSV #BoyWithLuv #GoodMorningTaehyung,1,0,1061188122950590464
507,uwuluu,2019-04-21 23:10:14+00:00,No. 1 álbum en Billboard 200 POR 3 VEZ #방탄소년단 #MapOfTheSoulPersona #BTS #BTSPavedTheWay @bts_bighit @BTS_twt,1,#MapOfTheSoulPersona #BTS #BTS #BTSPavedTheWay,0,0,719161646971805696
508,uuukorea3,2020-08-27 04:49:09+00:00,요새 자도 자도 피곤해서 힘들었는데 친구가 밀크씨슬을 추천하더라구요. 사기 전에 알아보니까 간이 안 좋으면 만성피로이기 쉽다고 해서 먹어보려고 구매했어요. 한 2주 먹었는데 확실히 아침에 일어나기가 좀 더 수월하고 피곤한 것도 덜하네요~ 마침 특별할인 이벤트 하던데 궁금하신분은↓↓클릭,122,,36,0,1267643783962718208
509,BTS_timearmy,2019-04-21 23:10:08+00:00,#Billboard200 #PersonaBillboardNo1 #PersonaUKNumber1 @BTS_twt. 방탄소년단 빌보드 200차트 1위 축하해요 ,1,#Billboard200 #PersonaBillboardNo1 #PersonaUKNumber1,0,0,1046028589030793216
510,wwschannel,2019-04-21 23:10:04+00:00,BTS、最新アルバム「MAP OF THE SOUL : PERSONA」が日本でも1位に！ http://www.wws-channel.com/music2/139752.html #BTS #防弾少年団 #방탄소년단 @BTS_jp_official @BTS_twt,1,#BTS #BTS,0,0,125880533
511,mulan8pe,2019-04-21 23:09:49+00:00,#PersonaBillboardNo1 #BTS #방탄소년단 THEY GOT IT!! (@BTS_twt),0,#PersonaBillboardNo1 #BTS #BTS,0,0,1100737586652434432
512,Y_Biggest,2019-04-21 23:09:45+00:00,อาร์มี่งับ มาช่วยน้องบอยเร๊ววววว 183ล้านแล้ว อีกนิดเดียว #BoyWithLuv @BTS_twt BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) feat. Halsey' Official MV https://youtu.be/XsX3ATc3FbA ผ่าน @YouTube,1,#BoyWithLuv,0,0,1390914416
513,soilovebangtan,2019-04-21 23:09:39+00:00,LET' GET IT #BTSARMY #BTS #방탄소년단 @BTS_twt,0,#BTSARMY #BTSARMY #BTS #BTS,0,0,989546054449152001
514,CypherMgl,2019-04-21 23:09:39+00:00,#방탄소년단 #PersonaBillboardNo1 #1 BB 200,1,#PersonaBillboardNo1,0,0,1085644568517885952
515,EM_JKLOVE,2019-04-21 23:09:21+00:00,나도 팬싸에 가고 싶다..ㅠㅠ 부럽다부럽다!!!!!!!!!!!!!!!! 토끼잉~~~ #MAPOFTHESOUL_PERSONA #작은_것들을_위한_시 #방탄소년단 #BTS #Jungkook @BTS_twt,2,#MAPOFTHESOUL_PERSONA #BTS #BTS #Jungkook,0,0,1010513922393161729
516,soilovebangtan,2019-04-21 23:09:18+00:00,#BTSARMY #BTS #방탄소년단 ,0,#BTSARMY #BTSARMY #BTS #BTS,0,0,989546054449152001
517,AndreaTaeHyungJ,2019-04-21 23:09:13+00:00,"Orgullosa de los reyes gracias por darnos excelente música Los Amo preciosos mil gracias por dejarnos disfrutar de su música, de ustedes Escribiendo historia cada día demostrando quienes son #PersonaBillboardNo1 #BoyWithLuv @BTS_twt #BTS #방탄소년단",0,#PersonaBillboardNo1 #BoyWithLuv #BTS #BTS,0,0,971764099704082432
518,calico_pjimin,2019-04-21 23:09:10+00:00,YES BITCHES! #BTS #방탄소년단 ,0,#BTS #BTS,0,0,937087508726403072
519,moteksheliV,2019-04-21 23:09:07+00:00,"#GoodmorningTaehyung, beautiful angel may your day shine bright #방탄소년단뷔 #방탄소년단 #뷔 #BTSV #V #KimTaehyung @BTS_twt",12,#GoodmorningTaehyung #BTSV #V #KimTaehyung,5,0,803323053069504512
520,mynameismylif3,2019-04-21 23:09:02+00:00,Congratulations BTS on achieving three #1 albums on BB200! You truly are paving a beautiful way for your own artistry. ARMYs are always with you! #PersonaBillboardNo1 @bts_twt #BTS #방탄소년단 ,6,#PersonaBillboardNo1 #BTS #BTS,4,0,957094971923943425
521,carolinaportu,2019-04-21 23:08:48+00:00,Me encanta!!!! Son unas leyendas!!!! Duela a quien le duela punto!!!!.. #PersonaBillboardNo1 #MapOfTheSoulPersona #방탄소년단 #BTS @BTS_twt,3,#PersonaBillboardNo1 #MapOfTheSoulPersona #BTS #BTS,1,0,315058485
522,ggodal,2019-04-21 23:08:48+00:00,#PersonaBillboardNo1 1996년 비틀즈 이후 1년 내 3개 앨범이 빌보드200 1위를 차지한 첫번째 그룹 아침부터 감동의 눈물로 시작하고.. 축하해 #BTS #방탄소년단 @BTS_twt,4,#PersonaBillboardNo1 #BTS #BTS,4,0,148327997
523,livevoice1,2019-04-21 23:08:45+00:00,WITH LOVE for BTSV / Kim Taehyung / Taehyung @BTS_twt #BTSV #KimTaehyung #Taehyung [BANGTAN BOMB] V's Piano solo showcase - BTS (방탄소년단) https://youtu.be/8E1iXifT1e8 via @YouTube,1,#BTSV #KimTaehyung #Taehyung,0,0,1045123668345405440
524,MoRTaL3090,2019-04-21 23:08:31+00:00,빅히트 시발 월급도 추첨제로 받아라 개빡쳐 일 제대로 안하냐?,0,,0,0,988762423208259584
525,Lehhhang,2019-04-21 23:08:25+00:00,#GoodmorningTaehyung the most beautiful smile #방탄소년단 #뷔 #방탄소년단뷔 #BTS #V #BTSV #김태형 #보라해 @BTS_twt,3,#GoodmorningTaehyung #BTS #BTS #V #BTSV,2,0,1028674001587957763
526,mulan8pe,2019-04-21 23:08:13+00:00,#PersonaBillboardNo1 #BTS #방탄소년단 (@BTS_twt) THEY GOT IT!!!,0,#PersonaBillboardNo1 #BTS #BTS,0,0,1100737586652434432
527,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
528,bun_carla,2019-04-21 23:08:08+00:00,"Good morning prince!!!Have a good day,please stay happy and take care.We are very proud of you. We purple you #GoodmorningTaehyung #BTSV #taehyung #방탄소년단뷔 #방탄소년단 #뷔 @BTS_twt",20,#GoodmorningTaehyung #BTSV #taehyung,17,0,829198902
529,HO97T,2019-04-21 23:07:59+00:00,빅히트 공지 똑띠해 ; ㅠㅠㅠ 어우 ㅆ ㅈ진짜;;;; 마음 아파 죽겠내,0,,0,0,1682887471
530,chummangz,2019-04-21 23:07:58+00:00,저 솔직히 지금 빅히트 너무 싫거든요 못 할 짓 햇어도 방탄이들 키워준거 그거 하나 땜에 참았어요 근데 지금 이건 좀 아닌거 같네요 외국이 그렇게나 좋아요? 그럼 너나 외국 처 들어가세요 우리가 외국인 아니라고 지금 차별하는건가??,2,,0,0,1043350008567758848
531,DinhThuAn17,2019-04-21 23:07:49+00:00,#GOODMORNINGTARHYUNG #BTS #V #방탄소년단 @BTS_twt,0,#GOODMORNINGTARHYUNG #BTS #BTS #V,0,0,1039562963982532608
532,sohappybts,2019-04-21 23:07:40+00:00,축하해 방탄소년단 #PersonaBillboardNo1 @BTS_twt,0,#PersonaBillboardNo1,1,0,991596333281624066
533,POMcarve,2019-04-21 23:07:30+00:00,#PersonaBillboardNo1 방탄소년단 축하해요 세번째앨범 #Billboard200 1위 @BTS_twt #BTS #방탄소년단 #MAP_OF_THE_SOUL_PERSONA,1,#PersonaBillboardNo1 #Billboard200 #BTS #BTS #MAP_OF_THE_SOUL_PERSONA,3,0,959346015013761024
534,onlybtsonlyarmy,2019-04-21 23:07:28+00:00,superando al anterior LY:Answer que vendió 141 mil en la semana de apertura. : https://www.billboard.com/amp/articles/columns/chart-beat/8507977/bts-map-of-the-soul-persona-no-1-album-billboard-200-chart?__twitter_impression=true ©JK_Glitters #PersonaBillboardNo1 #BTS #방탄소년단 @BTS_twt,1,#PersonaBillboardNo1 #BTS #BTS,1,0,1052070795063771136
535,gabichula5,2019-04-21 23:07:25+00:00,#PERSONABILLBOARDNO1 BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) feat. Halsey' Official MV https://youtu.be/XsX3ATc3FbA vía @YouTube,0,#PERSONABILLBOARDNO1,0,0,996099136574324739
536,TwtMinhMinh,2019-04-21 23:07:07+00:00,#PersonaBillboardNo1 #방탄소년단 #BTS #BBMAsXBTS,0,#PersonaBillboardNo1 #BTS #BTS #BBMAsXBTS,0,0,906152724604919808
537,chimmy_drew,2019-04-21 23:07:03+00:00,"Bangtan se merece todos los logros por sus esfuerzos, dedicación, su humildad como grupo y cada uno de ellos y muchas cosas más. #PersonaBillboardNo1 BTS ARE LEGENDS OF THE 21st CENTURY. #BTS #방탄소년단 #BTSARMY @BTS_twt",1,#PersonaBillboardNo1 #BTS #BTS #BTSARMY #BTSARMY,0,0,891980366
538,KOOKstargram_,2019-04-21 23:07:03+00:00,"빅히트 ,,, 내가 너 살려주는건 이번이 마지막이야 ,, 후 진짜 전정국 보고 참는다 ",1,,0,0,1014898159170961408
539,BangtansFriend1,2019-04-21 23:06:58+00:00,#PersonaBillboardNo1 #BBMAs #BoyWithLuvTo200M @BTS_twt #방탄소년단 congratulations for the kingtan ,0,#PersonaBillboardNo1 #BBMAs #BBMAs #BoyWithLuvTo200M,0,0,1104146704964767744
540,demlsg_,2019-04-21 23:06:54+00:00,빅히트한테 빡쳐서 글쓰다가도 탐라의 사진 웃으면서 저장하고 .... 또 생각하다보니 빡쳐서 글썼는데 최애가 막 브이하고 꽃받침하고 .... 그럼 또 행복해지고 .... 헤이 빅히트 ..... 방 아니였으면 이미 진작에 폭파되었을 회사야 .... 항상 연장 준비해두는 사람 나만이게 .... ? 아니거든 개많아,2,,0,0,1082276788569395200
541,9803sh,2019-04-21 23:06:48+00:00,"SO PROUD,,,,,,, GOD! @BTS_twt #PersonaBillboardNo1 #PERSONA #BTS #BTS #ARMY #BoyWithLuv #방탄소년단 https://twitter.com/billboard/status/1120095137860923392?s=20",0,#PersonaBillboardNo1 #PERSONA #BTS #BTS #BTS #BTS #ARMY #BoyWithLuv,0,0,1003383641676840960
542,lore_morocha_15,2019-04-21 23:06:38+00:00,Primeros después de los beatles!!!! Y vamos por más Se dan cuenta en el nivel que están nuestros reyes??? #PersonaBillboardNo1 #BTS #방탄소년단 #PERSONA,19,#PersonaBillboardNo1 #BTS #BTS #PERSONA,5,0,282807819
543,ilovegot19,2019-04-21 23:06:30+00:00,빌보드가 200차트 1위를 발표했습니다 에헤라디야~~ 1년에 3번연속 1위는 비틀즈 이후로 처음이래요 WOW~ 방탄소년단 페르소나 200차트 1위를 ㅊㅋㅊㅋ @BTS_twt,29,,34,1,1021042302830051328
544,maizeeey,2019-04-21 23:06:14+00:00,Princes Of Pop did that! #PersonaBillboardNo1 @BTS_twt #BTS #방탄소년단 ,13,#PersonaBillboardNo1 #BTS #BTS,14,0,991506879363903489
545,shizu2506,2019-04-21 23:06:13+00:00,Chào buổi sáng anh yêu #GoodmorningTaehyung #sendtoTaehyung #방탄소년단 @BTS_twt,6,#GoodmorningTaehyung #sendtoTaehyung,5,0,1014431943906058240
546,jiminie_up,2019-04-21 23:06:10+00:00,Thank you so much...I already miss Jimin #JIMIN #지민 #BTS #방탄소년단 @BTS_twt,8,#JIMIN #BTS #BTS,0,0,819338934865960960
